ts,bvp1,bvp2,resp
0,526,408,402
1,501,402,408
2,460,396,412
3,448,389,414
4,446,382,414
4,455,376,412
5,466,371,408
6,477,364,403
7,487,356,399
8,496,353,394
9,499,347,390
10,497,343,387
11,489,338,385
12,480,335,385
13,469,331,387
14,460,327,391
15,454,323,396
17,450,318,402
18,447,313,408
19,446,308,412
21,447,305,415
22,452,300,415
23,458,294,414
25,462,292,410
26,464,290,406
27,462,286,400
29,456,285,395
30,448,284,390
31,438,282,387
33,427,280,385
34,416,280,385
35,406,280,388
37,399,278,392
38,396,278,398
39,398,277,404
41,400,275,410
43,398,275,414
44,396,273,415
46,388,273,415
47,378,274,413
48,365,275,409
50,353,274,404
51,346,275,398
52,344,276,392
54,346,277,388
55,355,276,385
56,368,277,385
58,384,277,388
59,397,276,392
60,409,276,398
62,424,275,404
63,444,275,410
64,474,274,414
66,509,274,416
67,550,272,416
68,594,272,415
70,636,271,413
71,672,270,409
72,697,270,403
74,712,268,397
75,717,266,391
76,714,264,386
78,708,262,383
79,703,259,383
80,702,256,386
81,696,254,391
83,686,249,397
84,671,247,402
86,657,241,407
88,644,239,412
89,632,234,414
90,618,229,414
92,603,226,412
93,588,221,409
94,575,218,404
96,568,212,398
97,565,207,393
98,561,202,389
100,556,195,386
101,552,189,384
103,550,183,385
104,543,175,387
105,528,167,391
107,507,161,396
108,488,154,402
110,477,147,407
111,472,140,411
112,470,133,413
114,468,127,413
115,468,121,410
117,470,114,407
118,473,109,402
120,477,103,397
121,478,97,391
122,479,91,387
124,474,86,385
125,465,81,384
126,449,77,386
129,427,74,389
130,407,69,394
131,398,67,399
133,405,64,404
134,418,62,409
135,429,60,413
137,432,59,416
138,435,57,416
139,447,56,413
141,470,54,408
142,503,52,402
143,545,51,395
145,594,50,388
146,646,49,384
147,697,48,382
148,741,47,382
150,769,46,385
151,772,45,389
152,753,47,395
154,727,46,401
155,712,45,407
156,713,45,412
158,726,44,415
159,741,42,415
160,748,42,413
162,745,39,409
163,729,39,403
164,703,38,397
166,667,36,392
167,627,36,387
168,589,34,384
171,559,33,384
172,539,32,385
173,532,31,389
175,536,28,394
176,546,26,400
177,554,22,406
179,558,22,410
180,557,20,414
181,554,17,415
183,550,13,415
184,545,12,412
185,535,9,408
187,523,5,403
188,509,3,397
189,492,0,391
190,475,0,386
192,457,0,383
193,440,0,382
194,423,0,385
195,405,0,390
197,393,0,396
198,388,0,402
199,386,0,408
200,386,0,412
202,390,0,414
203,395,0,415
204,404,0,415
205,423,0,412
207,458,0,408
208,513,0,402
209,587,0,396
210,667,0,390
211,742,0,386
214,799,0,385
215,833,0,385
216,847,0,387
217,844,0,390
219,826,0,395
220,797,0,401
221,761,0,407
222,724,0,412
224,690,0,415
225,661,0,416
226,631,0,414
227,599,0,409
229,564,0,403
230,538,0,396
231,527,0,390
232,535,0,386
234,554,0,383
235,572,0,382
236,581,0,384
237,575,0,388
239,555,0,394
240,523,0,400
241,487,0,406
242,458,0,411
244,439,0,415
245,429,0,417
246,424,0,416
247,423,0,413
249,423,0,408
250,429,0,401
251,442,0,394
252,464,0,388
254,493,0,384
256,522,0,383
257,545,0,383
258,559,0,386
260,565,0,390
261,562,0,395
262,551,0,401
263,532,0,405
265,509,0,410
266,492,0,413
267,490,0,414
268,507,0,414
270,543,0,411
271,591,0,406
272,641,0,399
273,688,0,393
275,730,0,387
276,758,0,383
277,769,0,381
278,766,0,381
279,752,0,385
281,727,0,390
282,696,0,397
283,665,0,404
284,638,0,411
286,617,0,415
287,599,0,417
288,584,0,417
289,572,0,413
291,562,0,409
292,549,0,403
293,532,0,397
294,513,0,392
296,495,0,387
297,480,0,385
299,472,0,384
300,467,0,385
302,464,0,389
303,461,0,394
304,457,0,400
305,458,0,406
307,459,0,411
308,463,0,413
309,466,0,414
310,467,0,413
312,468,0,410
313,467,0,406
314,464,0,401
315,458,0,396
317,451,0,392
318,443,0,388
319,434,0,386
320,427,0,385
322,420,0,387
323,412,0,391
324,403,0,396
325,396,0,402
327,390,0,408
328,386,0,413
329,381,0,416
330,380,0,417
332,378,0,415
333,375,0,411
334,372,0,406
335,370,0,400
337,368,0,393
338,369,0,388
339,376,0,384
340,388,0,383
343,401,0,383
344,412,0,387
345,416,0,393
346,415,0,399
347,409,0,405
349,403,0,410
350,394,0,414
351,387,0,415
352,383,0,413
354,381,0,410
355,379,0,405
356,380,0,400
357,380,0,394
359,379,0,389
360,376,0,385
361,373,0,383
362,379,0,384
364,403,0,386
365,449,0,390
366,515,0,396
367,595,0,402
369,677,0,407
370,748,0,412
371,801,0,415
372,833,0,415
374,842,0,413
375,829,0,409
