ts,bvp1,bvp2,resp
0,585,730,399
1,626,729,397
2,562,727,397
3,570,724,396
3,577,722,396
4,608,720,395
5,621,718,395
6,633,715,395
7,625,713,394
8,618,711,393
9,596,709,393
10,578,706,393
11,553,704,392
12,535,702,392
13,504,699,392
14,472,697,392
15,433,696,392
17,405,693,392
18,386,691,392
19,384,689,393
21,391,686,394
22,407,685,394
23,426,684,395
25,447,683,396
26,463,681,397
27,482,679,398
29,500,677,399
30,517,677,400
31,526,674,401
33,530,671,402
34,520,670,403
35,505,667,404
37,486,666,405
38,473,665,405
39,465,663,406
41,461,662,407
43,455,662,407
44,444,660,408
46,420,660,408
47,392,658,408
48,362,657,408
50,340,656,407
51,324,654,406
52,327,652,406
54,341,651,405
55,360,649,404
56,377,648,403
58,389,648,402
59,393,646,401
60,390,646,401
62,377,646,400
63,360,646,399
64,342,645,398
66,334,645,398
67,341,644,397
68,370,643,396
70,416,642,395
71,473,642,395
72,531,642,394
74,587,641,394
75,635,640,393
76,675,641,393
78,700,641,393
79,716,641,392
80,717,641,392
81,705,642,392
83,684,643,392
84,664,643,392
86,647,643,391
88,639,644,392
89,634,645,392
90,631,644,392
92,623,645,393
93,609,646,393
94,595,646,394
96,583,647,395
97,578,647,396
98,584,648,397
100,596,650,399
101,606,651,400
103,607,654,401
104,599,655,402
105,578,657,403
107,551,660,404
108,519,660,405
110,486,662,406
111,459,663,407
112,439,664,408
114,426,666,409
115,417,668,409
117,408,669,410
118,398,671,410
120,388,673,411
121,379,676,411
122,367,679,410
124,353,682,410
125,344,684,409
128,338,687,408
129,340,688,408
130,351,691,407
132,367,693,406
133,386,694,405
135,399,697,404
136,408,698,403
137,408,700,402
139,403,703,401
140,393,706,400
142,385,709,400
143,381,712,399
145,382,716,398
146,386,718,397
147,389,721,397
149,392,722,396
150,395,726,396
152,400,727,395
153,415,729,395
154,443,731,395
156,487,734,394
157,543,736,393
159,603,738,394
160,657,740,393
161,696,744,393
163,718,747,393
164,731,750,393
166,734,752,394
167,731,754,394
168,722,756,395
171,714,758,395
172,705,759,397
