ts,bvp1,bvp2,resp
0,549,408,398
1,544,402,400
2,539,396,398
3,533,389,398
4,527,382,398
4,521,376,399
5,515,371,398
6,509,364,398
7,504,356,398
8,500,353,398
9,497,347,398
10,494,343,398
11,489,338,398
12,487,335,397
13,484,331,397
14,480,327,397
15,477,323,397
17,475,318,397
18,470,313,398
19,466,308,398
21,463,305,398
22,459,300,398
23,455,294,398
25,453,292,397
26,451,290,398
27,451,286,397
29,449,285,397
30,449,284,397
31,449,282,397
33,449,280,397
34,449,280,396
35,450,280,397
37,447,278,397
38,448,278,397
39,447,277,397
41,446,275,397
43,445,275,397
44,445,273,397
46,445,273,397
47,444,274,397
48,446,275,397
50,447,274,397
51,448,275,397
52,451,276,397
54,451,277,396
55,453,276,395
56,452,277,396
58,454,277,397
59,455,276,397
60,454,276,397
62,455,275,397
63,455,275,397
64,456,274,397
66,457,274,397
67,458,272,397
68,459,272,397
70,461,271,396
71,463,270,396
72,465,270,396
74,467,268,396
75,468,266,396
76,470,264,396
78,471,262,396
79,471,259,396
80,470,256,396
81,471,254,397
83,472,249,396
84,472,247,396
86,474,241,397
88,475,239,396
89,476,234,396
90,478,229,396
92,479,226,396
93,481,221,396
94,483,218,395
96,484,212,395
97,486,207,395
98,487,202,395
100,487,195,395
101,486,189,396
103,487,183,396
104,487,175,394
105,488,167,396
107,488,161,395
108,490,154,395
110,492,147,396
111,493,140,395
112,496,133,395
114,497,127,395
115,497,121,395
117,498,114,395
118,497,109,395
120,498,103,395
121,498,97,395
122,496,91,395
124,497,86,395
125,497,81,396
126,497,77,395
129,497,74,395
130,499,69,395
131,499,67,395
133,501,64,395
134,500,62,394
135,502,60,394
137,502,59,394
138,501,57,394
139,500,56,395
141,499,54,394
142,498,52,395
143,496,51,395
145,495,50,395
146,494,49,395
147,495,48,395
148,493,47,395
150,494,46,394
151,494,45,394
152,496,47,394
154,495,46,393
155,495,45,394
156,493,45,394
158,491,44,394
159,490,42,394
160,488,42,395
162,486,39,394
163,483,39,395
164,484,38,394
166,482,36,395
167,482,36,394
168,481,34,394
171,482,33,394
172,481,32,393
173,480,31,393
175,481,28,393
176,479,26,394
177,479,22,394
179,477,22,394
180,474,20,394
181,473,17,394
183,472,13,394
184,469,12,394
185,468,9,394
187,468,5,394
188,466,3,394
189,466,0,393
190,466,0,393
192,465,0,393
193,465,0,393
194,465,0,392
195,465,0,393
197,463,0,393
198,463,0,393
199,461,0,393
200,459,0,393
202,457,0,395
203,457,0,394
204,456,0,393
205,455,0,394
207,455,0,393
208,455,0,394
209,453,0,393
210,454,0,393
211,454,0,393
214,455,0,393
215,456,0,392
