ts,bvp1,bvp2,resp
0,669,730,399
1,664,729,399
2,657,727,398
3,651,724,399
3,644,722,399
4,638,720,398
5,632,718,398
6,626,715,398
7,621,713,398
8,616,711,398
9,611,709,398
10,606,706,398
11,601,704,398
12,597,702,399
13,593,699,398
14,588,697,398
15,584,696,397
17,579,693,398
18,576,691,397
19,573,689,397
21,570,686,398
22,568,685,397
23,567,684,398
25,566,683,397
26,566,681,397
27,564,679,397
29,564,677,397
30,564,677,397
31,564,674,397
33,564,671,397
34,564,670,396
35,565,667,397
37,566,666,397
38,567,665,397
39,569,663,396
41,571,662,396
43,574,662,397
44,576,660,396
46,578,660,397
47,581,658,396
48,583,657,396
50,585,656,396
51,586,654,396
52,588,652,396
54,590,651,396
55,593,649,396
56,595,648,396
58,597,648,396
59,600,646,396
60,602,646,396
62,605,646,395
63,608,646,396
64,611,645,396
66,614,645,395
67,616,644,395
68,617,643,396
70,619,642,395
71,620,642,395
72,622,642,395
74,623,641,395
75,624,640,395
76,625,641,395
78,626,641,395
79,627,641,396
80,628,641,396
81,630,642,395
83,631,643,395
84,631,643,395
86,632,643,396
88,632,644,395
89,633,645,395
90,632,644,395
92,632,645,395
93,631,646,395
94,630,646,395
96,630,647,394
97,629,647,394
98,629,648,396
100,629,650,394
101,628,651,395
103,628,654,394
104,628,655,394
105,627,657,394
107,626,660,394
108,625,660,394
110,624,662,394
111,622,663,394
112,621,664,394
114,619,666,394
115,617,668,394
117,615,669,394
118,613,671,394
120,612,673,394
121,611,676,394
122,609,679,393
124,608,682,394
125,606,684,393
128,605,687,394
129,603,688,393
130,601,691,393
132,598,693,393
133,595,694,394
135,593,697,394
136,591,698,393
137,588,700,394
139,586,703,393
140,585,706,393
142,583,709,393
143,582,712,393
145,580,716,393
146,579,718,393
147,576,721,393
149,573,722,393
150,570,726,393
152,568,727,393
153,565,729,393
154,563,731,393
156,561,734,393
157,559,736,393
159,556,738,393
160,554,740,393
161,553,744,393
163,552,747,393
164,550,750,392
166,548,752,393
167,546,754,393
168,544,756,392
171,542,758,393
172,539,759,392
174,537,761,392
175,534,762,392
177,530,764,392
178,528,766,393
179,525,768,392
181,524,771,393
182,521,773,393
184,519,775,393
185,516,777,392
186,513,779,392
188,509,782,392
189,506,783,392
191,503,784,392
192,499,785,392
193,495,787,393
195,491,788,392
196,488,790,393
198,484,791,392
199,480,793,393
201,478,795,392
202,475,796,392
203,472,799,392
205,469,801,392
206,465,802,392
208,461,802,392
209,458,803,392
210,453,804,392
212,449,803,392
214,445,802,392
216,441,804,392
217,438,803,392
218,433,803,392
220,430,804,393
221,427,804,392
223,424,805,392
224,422,806,392
226,418,805,392
227,416,805,392
228,413,804,392
230,410,803,392
231,407,803,392
233,405,801,393
234,402,800,392
235,399,800,393
237,397,798,393
238,395,798,393
240,393,796,393
241,392,795,393
242,392,795,393
244,391,794,392
245,390,793,392
247,389,791,393
248,388,788,393
250,387,787,393
251,385,785,393
252,384,781,393
254,383,779,393
256,383,777,393
258,382,774,393
259,382,771,393
260,382,769,393
262,384,768,393
263,384,766,394
265,385,763,393
266,386,762,393
267,386,759,394
269,387,757,394
270,388,753,393
272,389,750,394
273,390,747,394
275,390,744,394
276,391,741,394
277,392,738,394
279,393,734,394
280,395,733,394
282,398,729,395
283,400,727,395
284,401,724,394
286,403,720,395
287,404,717,396
289,407,713,395
290,408,710,395
291,408,706,395
293,410,701,395
294,412,698,395
296,414,694,395
297,416,691,395
299,418,687,395
301,421,684,396
302,423,680,396
304,426,678,396
305,428,674,395
307,431,670,396
308,433,667,396
309,435,664,396
311,436,660,396
312,438,655,396
314,439,651,397
315,441,647,397
316,442,643,397
318,443,638,397
319,445,635,396
321,447,631,397
322,450,628,397
323,453,624,397
325,454,621,396
326,456,618,397
328,458,614,397
329,460,611,397
331,461,607,398
332,462,603,397
333,463,598,398
335,465,595,398
336,466,592,398
338,468,589,398
339,470,586,398
340,472,582,398
343,475,580,398
344,477,577,399
346,479,574,399
347,481,572,399
348,483,568,399
350,485,565,399
351,487,561,399
353,488,558,399
354,489,554,399
356,491,551,399
